speler id,speler naam,positie,club,transferwaarde
950492,Goncalo Guedes,Aanvaller,Portugal,4000000
950493,Tomas Araujo,Aanvaller,Portugal,4000000
950494,Pedro Neto,Aanvaller,Portugal,4000000
950495,Mahmud Abunada,Keeper,Qatar,3500000
950496,Marwan Badreldin,Verdediger,Qatar,4000000
950497,Meshaal Barsham,Verdediger,Qatar,4000000
950498,Salah Zakaria Hassan,Verdediger,Qatar,4000000
950499,Jassem Gaber Abdulsallam,Verdediger,Qatar,3500000
950500,Homam Ahmed,Verdediger,Qatar,3500000
950501,Sultan Al Brake,Middenvelder,Qatar,4000000
950502,Ahmed Suhail Al Hamawende,Middenvelder,Qatar,4000000
950503,Al Hashmi Al Hussain,Middenvelder,Qatar,3500000
950504,Ghanem Al Minhali,Middenvelder,Qatar,3500000
950505,Abdulla Salman Al Otaibi,Middenvelder,Qatar,3500000
950506,Ayoub Al Oui,Aanvaller,Qatar,4000000
950507,Bassam Hisham Al Rawi,Aanvaller,Qatar,4000000
950508,Abdulla Al Yazidi,Aanvaller,Qatar,4000000
950509,Abdelkarim Hassan Fadlalla,Aanvaller,Qatar,4000000
950510,Nawaf Al Aqidi,Keeper,Saudi Arabia,3500000
950511,Ali Lajami,Verdediger,Saudi Arabia,4000000
950512,Abdulelah Al Amri,Verdediger,Saudi Arabia,4000000
950513,Hassan Kadesh Mahboob,Verdediger,Saudi Arabia,4000000
950514,Musab Al Juwayr,Verdediger,Saudi Arabia,3500000
950515,Mohamed Kanno,Verdediger,Saudi Arabia,3500000
950516,Ayman Yahya Salem,Middenvelder,Saudi Arabia,4000000
950517,Saud Abdulhamid,Middenvelder,Saudi Arabia,4000000
950518,Firas Al Buraikan,Middenvelder,Saudi Arabia,3500000
950519,Khalid Al Ghannam,Middenvelder,Saudi Arabia,3500000
950520,Salman Al Faraj,Middenvelder,Saudi Arabia,3500000
950521,Marwan Al Sahafi,Aanvaller,Saudi Arabia,4000000
950522,Ali Majrashi,Aanvaller,Saudi Arabia,4000000
950523,Naif Masoud,Aanvaller,Saudi Arabia,4000000
950524,Muteb Al Mufarrij,Aanvaller,Saudi Arabia,4000000
950525,Angus Gunn,Keeper,Scotland,3500000
950526,Scott Mckenna,Verdediger,Scotland,4000000
950527,Jack Hendry,Verdediger,Scotland,4000000
950528,Andrew Robertson,Verdediger,Scotland,4000000
950529,Nathan Patterson,Verdediger,Scotland,3500000
950530,Lewis Ferguson,Verdediger,Scotland,3500000
950531,Tommy Conway,Middenvelder,Scotland,4000000
950532,Kenny Mclean,Middenvelder,Scotland,4000000
950533,Lyndon Dykes,Middenvelder,Scotland,3500000
950534,Scott Mctominay,Middenvelder,Scotland,3500000
950535,John Mcginn,Middenvelder,Scotland,3500000
950536,Ryan Christie,Aanvaller,Scotland,4000000
950537,George Hirst,Aanvaller,Scotland,4000000
950538,Kieran Tierney,Aanvaller,Scotland,4000000
950539,Billy Gilmour,Aanvaller,Scotland,4000000
950540,Edouard Mendy,Keeper,Senegal,3500000
950541,Moussa Niakhate,Verdediger,Senegal,4000000
950542,Abdoulaye Seck,Verdediger,Senegal,4000000
950543,Ismail Jakobs,Verdediger,Senegal,4000000
950544,Krepin Diatta,Verdediger,Senegal,3500000
950545,Idrissa Gueye,Verdediger,Senegal,3500000
950546,Sadio Mane,Middenvelder,Senegal,4000000
950547,Habib Diarra,Middenvelder,Senegal,4000000
950548,Nicolas Jackson,Middenvelder,Senegal,3500000
950549,Pape Gueye,Middenvelder,Senegal,3500000
950550,Ismaila Sarr,Middenvelder,Senegal,3500000
950551,El Hadji Malick Diouf,Aanvaller,Senegal,4000000
950552,Boulaye Dia,Aanvaller,Senegal,4000000
950553,Lamine Camara 1,Aanvaller,Senegal,4000000
950554,Ibrahim Mbaye,Aanvaller,Senegal,4000000
950555,Ronwen Williams,Keeper,South Africa,3500000
950556,Siyabonga Ngezana,Verdediger,South Africa,4000000
950557,Mbekezeli Mbokazi,Verdediger,South Africa,4000000
950558,Nkosinathi Sibisi,Verdediger,South Africa,4000000
950559,Teboho Mokoena 1,Verdediger,South Africa,3500000
950560,Bathusi Aubaas,Verdediger,South Africa,3500000
950561,Samukele Kabini,Middenvelder,South Africa,4000000
950562,Khuliso Mudau,Middenvelder,South Africa,4000000
950563,Lyle Foster,Middenvelder,South Africa,3500000
950564,Relebohile Mofokeng,Middenvelder,South Africa,3500000
950565,Oswin Appollis,Middenvelder,South Africa,3500000
950566,Aubrey Modiba,Aanvaller,South Africa,4000000
950567,Evidence Makgopa,Aanvaller,South Africa,4000000
950568,Sipho Mbule,Aanvaller,South Africa,4000000
950569,Tshepang Moremi,Aanvaller,South Africa,4000000
950570,Hyeon Woo Jo,Keeper,South Korea,3500000
950571,Min Jae Kim,Verdediger,South Korea,4000000
950572,Tae Hyun Kim,Verdediger,South Korea,4000000
950573,Yu Min Cho,Verdediger,South Korea,4000000
950574,Jin Gyu Kim,Verdediger,South Korea,3500000
950575,Jin Seob Park,Verdediger,South Korea,3500000
950576,Young Woo Seol,Middenvelder,South Korea,4000000
950577,Moon Hwan Kim,Middenvelder,South Korea,4000000
950578,Hyeon Gyu Oh,Middenvelder,South Korea,3500000
950579,Hee Chan Hwang,Middenvelder,South Korea,3500000
950580,Jun Ho Bae,Middenvelder,South Korea,3500000
950581,Seung Ho Paik,Aanvaller,South Korea,4000000
950582,Han Beom Lee,Aanvaller,South Korea,4000000
950583,Hyun Jun Yang,Aanvaller,South Korea,4000000
950584,Kang In Lee,Aanvaller,South Korea,4000000
950585,Unai Simon,Keeper,Spain,3500000
950586,Aymeric Laporte,Verdediger,Spain,4000000
950587,Pau Cubarsi,Verdediger,Spain,4000000
950588,Marc Cucurella,Verdediger,Spain,4000000
950589,Marcos Llorente,Verdediger,Spain,3500000
950590,Pedri,Verdediger,Spain,3500000
950591,Alex Baena,Middenvelder,Spain,4000000
950592,Rodri 1,Middenvelder,Spain,4000000
950593,Mikel Oyarzabal,Middenvelder,Spain,3500000
950594,Fermin Lopez,Middenvelder,Spain,3500000
950595,Lamine Yamal,Middenvelder,Spain,3500000
950596,Pablo Fornals,Aanvaller,Spain,4000000
950597,Dani Olmo,Aanvaller,Spain,4000000
950598,Ferran Torres,Aanvaller,Spain,4000000
950599,Victor Munoz 1,Aanvaller,Spain,4000000
950600,Kristoffer Nordfeldt,Keeper,Sweden,3500000
950601,Isak Hien,Verdediger,Sweden,4000000
950602,Victor Lindelof,Verdediger,Sweden,4000000
950603,Gabriel Gudmundsson,Verdediger,Sweden,4000000
950604,Yasin Ayari,Verdediger,Sweden,3500000
950605,Gustaf Lagerbielke,Verdediger,Sweden,3500000
950606,Benjamin Nygren,Middenvelder,Sweden,4000000
950607,Herman Johansson,Middenvelder,Sweden,4000000
950608,Viktor Gyokeres,Middenvelder,Sweden,3500000
950609,Jesper Karlstrom,Middenvelder,Sweden,3500000
950610,Anthony Elanga,Middenvelder,Sweden,3500000
950611,Carl Starfelt,Aanvaller,Sweden,4000000
950612,Lucas Bergvall,Aanvaller,Sweden,4000000
950613,Daniel Svensson,Aanvaller,Sweden,4000000
950614,Mattias Svanberg,Aanvaller,Sweden,4000000
950615,Gregor Kobel,Keeper,Switzerland,3500000
950616,Nico Elvedi,Verdediger,Switzerland,4000000
950617,Manuel Akanji,Verdediger,Switzerland,4000000
950618,Ricardo Rodriguez,Verdediger,Switzerland,4000000
950619,Silvan Widmer,Verdediger,Switzerland,3500000
950620,Granit Xhaka,Verdediger,Switzerland,3500000
950621,Dan Ndoye,Middenvelder,Switzerland,4000000
950622,Remo Freuler,Middenvelder,Switzerland,4000000
950623,Breel Embolo,Middenvelder,Switzerland,3500000
950624,Fabian Rieder,Middenvelder,Switzerland,3500000
950625,Ruben Vargas,Middenvelder,Switzerland,3500000
950626,Ardon Jashari,Aanvaller,Switzerland,4000000
950627,Miro Muheim,Aanvaller,Switzerland,4000000
950628,Denis Zakaria,Aanvaller,Switzerland,4000000
950629,Johan Manzambi,Aanvaller,Switzerland,4000000
950630,Aymen Dahmen,Keeper,Tunisia,3500000
950631,Dylan Bronn,Verdediger,Tunisia,4000000
950632,Montassar Talbi,Verdediger,Tunisia,4000000
950633,Ali Abdi,Verdediger,Tunisia,4000000
950634,Yan Valery,Verdediger,Tunisia,3500000
950635,Ferjani Sassi,Verdediger,Tunisia,3500000
950636,Hannibal Mejbri,Middenvelder,Tunisia,4000000
950637,Ellyes Skhiri,Middenvelder,Tunisia,4000000
950638,Hazem Mastouri,Middenvelder,Tunisia,3500000
950639,Hadj Mahmoud,Middenvelder,Tunisia,3500000
950640,Ismael Gharbi,Middenvelder,Tunisia,3500000
950641,Yassine Meriah,Aanvaller,Tunisia,4000000
950642,Elias Achouri,Aanvaller,Tunisia,4000000
950643,Elias Saad,Aanvaller,Tunisia,4000000
950644,Firas Chaouat,Aanvaller,Tunisia,4000000
950645,Ugurcan Cakir,Keeper,Turkey,3500000
950646,Abdulkerim Bardakci,Verdediger,Turkey,4000000
950647,Samet Akaydin,Verdediger,Turkey,4000000
950648,Ferdi Kadioglu,Verdediger,Turkey,4000000
950649,Mert Muldur,Verdediger,Turkey,3500000
950650,Ismail Yuksek,Verdediger,Turkey,3500000
950651,Kenan Yildiz,Middenvelder,Turkey,4000000
950652,Hakan Calhanoglu,Middenvelder,Turkey,4000000
950653,Kerem Akturkoglu,Middenvelder,Turkey,3500000
950654,Arda Guler,Middenvelder,Turkey,3500000
950655,Baris Alper Yilmaz,Middenvelder,Turkey,3500000
950656,Orkun Kokcu,Aanvaller,Turkey,4000000
950657,Ozan Kabak,Aanvaller,Turkey,4000000
950658,Irfan Kahveci,Aanvaller,Turkey,4000000
950659,Player 15 Turkey,Aanvaller,Turkey,4000000
950660,Matt Turner,Keeper,United States,3500000
950661,Tim Ream,Verdediger,United States,4000000
950662,Mark Mckenzie,Verdediger,United States,4000000
950663,Antonee Robinson,Verdediger,United States,4000000
950664,Timothy Weah,Verdediger,United States,3500000
950665,Johnny Cardoso,Verdediger,United States,3500000
950666,Christian Pulisic,Middenvelder,United States,4000000
950667,Tanner Tessmann,Middenvelder,United States,4000000
950668,Folarin Balogun,Middenvelder,United States,3500000
950669,Malik Tillman,Middenvelder,United States,3500000
950670,Weston Mckennie,Middenvelder,United States,3500000
950671,Cristian Roldan,Aanvaller,United States,4000000
950672,Max Arfsten,Aanvaller,United States,4000000
950673,Alex Freeman 1,Aanvaller,United States,4000000
950674,Sebastian Berhalter,Aanvaller,United States,4000000
950675,Fernando Muslera,Keeper,Uruguay,3500000
950676,Mathias Olivera,Verdediger,Uruguay,4000000
950677,Ronald Araujo,Verdediger,Uruguay,4000000
950678,Joaquin Piquerez,Verdediger,Uruguay,4000000
950679,Guillermo Varela,Verdediger,Uruguay,3500000
950680,Manuel Ugarte,Verdediger,Uruguay,3500000
950681,Maxi Araujo,Middenvelder,Uruguay,4000000
950682,Agustin Canobbio,Middenvelder,Uruguay,4000000
950683,Rodrigo Aguirre,Middenvelder,Uruguay,3500000
950684,Federico Valverde,Middenvelder,Uruguay,3500000
950685,Giorgian De Arrascaeta,Middenvelder,Uruguay,3500000
950686,Jose Maria Gimenez,Aanvaller,Uruguay,4000000
950687,Federico Vinas,Aanvaller,Uruguay,4000000
950688,Facundo Pellistri,Aanvaller,Uruguay,4000000
950689,Darwin Nunez,Aanvaller,Uruguay,4000000
950690,Otkir Yusupov,Keeper,Uzbekistan,3500000
950691,Jahongir Orozov,Verdediger,Uzbekistan,4000000
950692,Umar Eshmurodov,Verdediger,Uzbekistan,4000000
950693,Sherzod Nasrullayev,Verdediger,Uzbekistan,4000000
950694,Odiljon Xamrobekov,Verdediger,Uzbekistan,3500000
950695,Rustam Ashurmatov,Verdediger,Uzbekistan,3500000
950696,Oston Urunov,Middenvelder,Uzbekistan,4000000
950697,Xojiakbar Alijonov,Middenvelder,Uzbekistan,4000000
950698,Eldor Shomurodov,Middenvelder,Uzbekistan,3500000
950699,Otabek Shukurov,Middenvelder,Uzbekistan,3500000
950700,Azizjon G Aniyev,Middenvelder,Uzbekistan,3500000
950701,Behruz Karimov,Aanvaller,Uzbekistan,4000000
950702,Akmal Mozgovoy,Aanvaller,Uzbekistan,4000000
950703,Dostonbek Xamdamov,Aanvaller,Uzbekistan,4000000
950704,Alisher Odilov,Aanvaller,Uzbekistan,4000000
950705,Curaçao Speler 1,Keeper,Curaçao,3000000
950706,Curaçao Speler 2,Verdediger,Curaçao,3500000
950707,Curaçao Speler 3,Verdediger,Curaçao,3000000
950708,Curaçao Speler 4,Verdediger,Curaçao,3000000
950709,Curaçao Speler 5,Verdediger,Curaçao,3000000
950710,Curaçao Speler 6,Verdediger,Curaçao,3000000
950711,Curaçao Speler 7,Middenvelder,Curaçao,4000000
950712,Curaçao Speler 8,Middenvelder,Curaçao,4000000
950713,Curaçao Speler 9,Middenvelder,Curaçao,3500000
950714,Curaçao Speler 10,Middenvelder,Curaçao,3500000
950715,Curaçao Speler 11,Middenvelder,Curaçao,3500000
950716,Curaçao Speler 12,Aanvaller,Curaçao,4500000
950717,Curaçao Speler 13,Aanvaller,Curaçao,4000000
950718,Curaçao Speler 14,Aanvaller,Curaçao,4000000
950719,Curaçao Speler 15,Aanvaller,Curaçao,4000000
